method,size,nb_proc,time
sequential,1000000000,1,3.469690
omp,1000000000,1,3.470560
omp,1000000000,2,1.776944
omp,1000000000,4,0.897179
omp,1000000000,6,0.637563
omp,1000000000,8,0.567843
mpi,1000000000,1,3.488894
mpi,1000000000,2,1.765916
mpi,1000000000,4,0.898110
mpi,1000000000,6,0.614595
mpi,1000000000,8,0.542775
